fishbase_id,Order,Family,Species,Occurrence,FishBase name,Name,Link,image_counts,image_page_link
972,Beloniformes,Belonidae,Ablennes hians,native,Flat needlefish,'Aha'aha,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=972,30,https://www.fishbase.se/photos/thumbnailssummary.php?ID=972
6652,Ovalentaria/misc,Pomacentridae,Abudefduf abdominalis,native,Green damselfish,Mamamo,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6652,10,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6652
5689,Ovalentaria/misc,Pomacentridae,Abudefduf sordidus,native,Blackspot sergeant,Ao'aonui,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5689,69,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5689
6630,Ovalentaria/misc,Pomacentridae,Abudefduf vaigiensis,native,Indo-Pacific sergeant,Indo-Pacific sergeant,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6630,145,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6630
89,Scombriformes,Scombridae,Acanthocybium solandri,native,Wahoo,Ono,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=89,111,https://www.fishbase.se/photos/thumbnailssummary.php?ID=89
4306,Acanthuriformes,Acanthuridae,Acanthurus achilles,native,Achilles tang,Pāku'iku'i,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4306,29,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4306
4750,Acanthuriformes,Acanthuridae,Acanthurus blochii,native,Ringtail surgeonfish,Pualu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4750,15,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4750
1256,Acanthuriformes,Acanthuridae,Acanthurus dussumieri,native,Eyestripe surgeonfish,Palani,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1256,47,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1256
4736,Acanthuriformes,Acanthuridae,Acanthurus guttatus,native,Whitespotted surgeonfish,Api,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4736,14,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4736
4737,Acanthuriformes,Acanthuridae,Acanthurus leucopareius,native,Whitebar surgeonfish,Maikoiko,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4737,18,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4737
1258,Acanthuriformes,Acanthuridae,Acanthurus lineatus,native,Lined surgeonfish,Striped surgeonfish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1258,73,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1258
6011,Acanthuriformes,Acanthuridae,Acanthurus nigricans,native,Whitecheek surgeonfish,Gold-rim tang,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6011,49,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6011
4739,Acanthuriformes,Acanthuridae,Acanthurus nigrofuscus,native,Brown surgeonfish,Maiii,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4739,58,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4739
4738,Acanthuriformes,Acanthuridae,Acanthurus nigroris,native,Bluelined surgeonfish,Maiko,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4738,6,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4738
4744,Acanthuriformes,Acanthuridae,Acanthurus olivaceus,native,Orangespot surgeonfish,Nae nae,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4744,33,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4744
4734,Acanthuriformes,Acanthuridae,Acanthurus thompsoni,native,Thompson's surgeonfish,Thompson's tang,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4734,26,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4734
1260,Acanthuriformes,Acanthuridae,Acanthurus triostegus,native,Convict surgeonfish,Manini,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1260,84,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1260
1261,Acanthuriformes,Acanthuridae,Acanthurus xanthopterus,native,Yellowfin surgeonfish,Pualu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1261,87,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1261
58525,Anguilliformes,Congridae,Acromycter alcocki,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=58525,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=58525
12600,Myliobatiformes,Aetobatidae,Aetobatus ocellatus,native,Ocellated eagle ray,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=12600,101,https://www.fishbase.se/photos/thumbnailssummary.php?ID=12600
22983,Aulopiformes,Notosudidae,Ahliesaurus brevis,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=22983,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=22983
11512,Albuliformes,Albulidae,Albula glossodonta,native,Roundjaw bonefish,'amo'omo'o,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=11512,29,https://www.fishbase.se/photos/thumbnailssummary.php?ID=11512
63908,Albuliformes,Albulidae,Albula virgata,endemic,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=63908,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=63908
7502,Notacanthiformes,Halosauridae,Aldrovandia affinis,native,Gilbert's halosaurid fish,Gilbert's halosaurid fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7502,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7502
9012,Notacanthiformes,Halosauridae,Aldrovandia phalacra,native,Hawaiian halosaurid fish,Hawaiian halosaurid fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=9012,6,https://www.fishbase.se/photos/thumbnailssummary.php?ID=9012
988,Carangiformes,Carangidae,Alectis ciliaris,native,African pompano,Papio,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=988,114,https://www.fishbase.se/photos/thumbnailssummary.php?ID=988
10,Carangiformes,Carangidae,Alectis indica,native,Indian threadfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=10,74,https://www.fishbase.se/photos/thumbnailssummary.php?ID=10
99,Aulopiformes,Alepisauridae,Alepisaurus ferox,native,Long snouted lancetfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=99,80,https://www.fishbase.se/photos/thumbnailssummary.php?ID=99
58904,Alepocephaliformes,Alepocephalidae,Alepocephalus blanfordii,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=58904,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=58904
5891,Lamniformes,Alopiidae,Alopias pelagicus,native,Pelagic thresher,Manō hi'ukā,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5891,124,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5891
2534,Lamniformes,Alopiidae,Alopias superciliosus,native,Bigeye thresher,Manō hi'ukā,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=2534,132,https://www.fishbase.se/photos/thumbnailssummary.php?ID=2534
2535,Lamniformes,Alopiidae,Alopias vulpinus,native,Thresher,Manō 'ula,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=2535,14,https://www.fishbase.se/photos/thumbnailssummary.php?ID=2535
4274,Tetraodontiformes,Monacanthidae,Aluterus monoceros,native,Unicorn leatherjacket filefish,Unicorn leatherjacket,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4274,116,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4274
4275,Tetraodontiformes,Monacanthidae,Aluterus scriptus,native,Scribbled leatherjacket filefish,Loulu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4275,154,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4275
4459,Scombriformes,Amarsipidae,Amarsipus carlsbergi,native,Amarsipa,Amarsipa,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4459,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4459
3615,Cichliformes,Cichlidae,Amatitlania nigrofasciata,introduced,Convict cichlid,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=3615,56,https://www.fishbase.se/photos/thumbnailssummary.php?ID=3615
5829,Centrarchiformes,Cirrhitidae,Amblycirrhitus bimacula,native,Twospot hawkfish,Pili-ko`a,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5829,16,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5829
57467,Perciformes/Uranoscopoidei,Ammodytidae,Ammodytoides pylei,native,Pyle's sand lance,Pyle's sand lance,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=57467,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=57467
59627,Eupercaria/misc,Labridae,Ammolabrus dicrus,native,Sand wrasse,Sand wrasse,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=59627,8,https://www.fishbase.se/photos/thumbnailssummary.php?ID=59627
4786,Cichliformes,Cichlidae,Amphilophus citrinellus,introduced,Midas cichlid,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4786,43,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4786
28238,Cichliformes,Cichlidae,Amphilophus labiatus,introduced,Red devil,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=28238,40,https://www.fishbase.se/photos/thumbnailssummary.php?ID=28238
4919,Eupercaria/misc,Labridae,Anampses chrysocephalus,native,Red tail wrasse,Red tail wrasse,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4919,8,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4919
4916,Eupercaria/misc,Labridae,Anampses cuvier,native,Pearl wrasse,'Opule,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4916,12,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4916
6483,Anguilliformes,Muraenidae,Anarchias allardicei,native,Allardice's moray,Allardice's moray,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6483,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6483
